gene_name	accession	n
F8	P00451	468
SCN1A	P35498	409
FBN1	P35555	393
ABCA4	P78363	226
PAH	P00439	226
MYH7	P12883	199
GJB1	P08034	189
SCN5A	Q14524	189
GBA1	P04062	188
ATP7B	P35670	180
GLA	P06280	180
AR	P10275	168
RYR1	P21817	158
NPC1	O15118	150
COL1A1	P02452	148
CFTR	P13569	147
COL4A5	P29400	144
F9	P00740	141
CPS1	P31327	140
GALT	P07902	134
RET	P07949	134
VHL	P40337	133
LMNA	P02545	132
ABCD1	P33897	131
GAA	P10253	131
KCNQ1	P51787	131
GALNS	P34059	126
IDS	P22304	126
MMUT	P22033	125
SLC12A3	P55017	119
KCNH2	Q12809	117
ALPL	P05186	113
OTC	P00480	111
SMPD1	P17405	111
TYR	P14679	111
BEST1	O76090	110
BTK	Q06187	110
NOTCH3	Q9UM47	110
CASR	P41180	109
F7	P08709	108
GCK	P35557	107
LDLR	P01130	105
CBS	P35520	103
COL3A1	P02461	103
PKLR	P30613	101
GLB1	P16278	99
PSEN1	P49768	98
ABCC8	Q09428	97
ARSA	P15289	97
MEN1	O00255	96
PKHD1	P08F94	93
PKD1	P98161	92
HMBS	P08397	90
MPZ	P25189	90
ELANE	P08246	89
PROS1	P07225	89
ABCC6	O95255	86
ASS1	P00966	86
MLH1	P40692	85
NF1	P21359	85
SERPINC1	P01008	85
ACTA1	P68133	84
AVPR2	P30518	84
COL1A2	P08123	84
TP53	P04637	83
ACVRL1	P37023	82
CRB1	P82279	81
SHH	Q15465	81
SCN2A	Q99250	79
SOD1	P00441	79
COL7A1	Q02388	77
SPAST	Q9UBP0	77
TTR	P02766	75
FGFR1	P11362	74
PLP1	P60201	74
POLG	P54098	73
SLC22A5	O76082	73
SLC26A4	O43511	73
ABCB4	P21439	72
FGFR2	P21802	72
EDA	Q92838	71
LPL	P06858	71
MSH2	P43246	71
USH2A	O75445	70
RHO	P08100	69
HGD	Q93099	68
NAGLU	P54802	68
L1CAM	P32004	67
CYP21A2	P08686	66
PMM2	O15305	66
RS1	O15537	66
CYBB	P04839	65
SCN4A	P35499	65
TGM1	P22735	65
COL2A1	P02458	64
HPRT1	P00492	64
INSR	P06213	64
MYBPC3	Q14896	64
ASL	P04424	63
GFAP	P14136	62
NPHS1	O60500	62
COMP	P49747	61
NDP	Q00604	60
OPA1	O60313	60
PTPN11	Q06124	60
CNGA3	Q16281	59
CDH23	Q9H251	58
F11	P03951	58
G6PD	P11413	58
GCDH	Q92947	58
MYOC	Q99972	58
CHST6	Q9GZX3	57
IDUA	P35475	57
MTM1	Q13496	57
PPOX	P50336	56
